英文原文	真实法文	模型预测法文
Your eggs are getting cold.	Vos œufs refroidissent.	Vos œufs se <unk>
Can't we start again?	Ne pouvons-nous pas recommencer ?	Ne pouvons-nous pas commencer à nouveau ?
I built it.	Je l'ai construit.	Je l'ai <unk>
I usually don't bother with people like him.	Je ne me soucie pas, d'ordinaire, de gens comme lui.	Je ne suis habituellement pas de gens le gens comme lui.
Did you say yes?	Avez-vous dit oui ?	Avez-vous dit ?
I hope your business trip to France was successful.	J'espère que votre voyage d'affaires en France a été une réussite.	J'espère que votre <unk> a été <unk>
Are you trying to grow a beard?	Vous vous faites pousser la barbe?	<unk> de <unk> un <unk> ?
Did you want anything else?	Vous fallait-il quelque chose d'autre ?	Avez-vous voulu quoi que ce soit d'autre ?
Could you download a file for me?	Peux-tu me télécharger un fichier ?	Peux-tu <unk> un <unk> pour moi ?
It doesn't look right.	Ça n'a pas l'air correct.	Ça ne semble pas correct.
English is spoken in many countries.	On parle l'anglais dans de nombreux pays.	L'anglais est parlé de nombreux pays.
He sits in this chair when he watches television.	Il est assis dans cette chaise quand il regarde la télévision.	Il <unk> dans ce magasin quand il est rentré la télévision.
Tom is a great actor.	Tom est un grand acteur.	Tom est un grand pays.
Don't sneak up on me like that.	Ne me prends pas par surprise comme ça.	Ne me <unk> pas comme ça !
He said nothing.	Il n'a rien dit.	Il ne dit rien.
Someone's ringing the doorbell.	Quelqu'un sonne à la porte.	Il est mort du <unk>
If I were you, I'd follow his advice.	À votre place, je suivrais son conseil.	Si j'étais vous, je <unk> son conseil.
Don't eat between meals.	Ne mange pas entre les repas.	Ne mangez pas entre les repas.
We were caught in a snowstorm.	Nous fûmes pris dans une tempête de neige.	Nous étions <unk> dans un <unk>
I hadn't thought about that.	Je n'y avais pas songé.	Je n'avais pas pensé à ce sujet.
Father always says, "Do your best."	Père dit toujours : "Fais de ton mieux."	Père <unk> toujours <unk> votre <unk>
I'm not your maid.	Je ne suis pas votre bonne.	Je ne suis pas votre part.
His criticisms were out of place.	Ses critiques étaient déplacées.	Ses <unk> étaient <unk>
Don't forget to turn off the light before you go to sleep.	N'oublie pas d'éteindre la lumière avant d'aller dormir.	N'oublie pas d'éteindre la lumière avant d'aller dormir.
This store sells vegetables.	Ce magasin vend des légumes.	Ce magasin vend des légumes.
Where's convenient for you?	Où est-ce que ça vous arrange ?	Où se trouve pour toi ?
Something might fall on you, so be careful.	Quelque chose pourrait vous tomber dessus, alors soyez prudents.	Quelque chose pourrait être <unk> alors vous seriez prudente.
You're going to have to stop doing that.	Tu vas devoir arrêter de faire ça.	Vous devrez avoir arrêter de faire cela.
I just found out what was going on.	Je viens de découvrir ce qui se passait.	Je viens de sortir ce qui allait arriver.
Finally, we arrived in England.	Nous parvînmes finalement en Angleterre.	Finalement, nous sommes arrivés dans l'Angleterre.
Don't say a word to anyone.	Ne dis pas un mot à qui que ce soit.	Ne dites pas mot à personne à personne.
I'm all done.	J'ai tout terminé.	Je suis tout fait.
My camera is much better than his.	Mon appareil photo est bien meilleur que le sien.	Mon appareil photo est meilleur que la sienne.
Mary dyed her hair blue.	Marie s'est teint les cheveux en bleu.	Marie lui a teint les cheveux <unk>
I never said you were lying.	Je n'ai jamais dit que vous mentiez.	Je n'ai jamais dit que vous étiez en sécurité.
We need to do better than this.	Il faut que nous fassions mieux que cela.	Il nous faut faire mieux que ça.
Don't be so outraged.	Ne sois pas si indignée !	Ne sois pas si <unk> !
Tom's leg is bleeding.	La jambe de Tom saigne.	La jambe de Tom est saigner.
What doesn't kill us makes us stronger.	Ce qui ne nous tue pas nous rend plus fort.	Que ne nous tue pas nous dire plus tôt ?
Please say hello to your wife for me.	Dis bonjour à ta femme de ma part, s'il te plaît.	Veuillez me dire bonjour à votre femme pour moi.
Is the staff meeting held on Monday?	La réunion du personnel a-t-elle lieu lundi ?	Le <unk> est-il <unk> sur la <unk> ?
I have a very sore arm where you hit me.	J'ai très mal au bras, là où tu m'as frappé.	J'ai une fille très <unk> où tu m'as <unk>
I didn't know what I was getting into.	Je ne savais pas dans quoi j'étais en train de m'engager.	Je ne savais pas ce que j'avais <unk>
We don't have secrets.	Nous n'avons pas de secrets.	Nous n'avons pas secrets.
Maybe it was just a nightmare.	Peut-être était-ce juste un cauchemar.	Peut-être que c'était un <unk>
Thanks for the compliment.	Merci pour le compliment !	Merci pour le <unk>
Were you sincere?	Étiez-vous sincère ?	Étais-tu <unk> ?
You are the most important person in my life.	Tu es la personne la plus importante dans ma vie.	Vous êtes le plus importante que la plus importante dans ma vie.
We're not guilty.	Nous ne sommes pas coupables.	Nous ne sommes pas coupable.
We'll paint it.	Nous le peindrons.	Nous <unk>
Don't worry. I told you everything would be OK.	Ne t'en fais pas. Je vous ai dit que tout irait bien.	Ne vous faites pas <unk> tout ce que vous seriez <unk>
It's way too heavy.	C'est beaucoup trop lourd.	C'est comme trop lourd.
You can't just come here without an appointment.	Tu ne peux pas simplement venir ici sans rendez-vous.	Vous ne pouvez simplement pas venir ici sans rendez-vous.
He was burning up with fever.	Il avait une grosse fièvre.	Il était <unk> avec des fièvre.
I'm glad you didn't do it.	Je suis heureuse que vous le n'ayez pas fait.	Je suis heureux que vous n'ayez pas fait.
You look like a kid.	Vous ressemblez à une enfant.	Tu ressembles une enfant.
What is your idea of a good time?	Quelle est votre conception d'un bon moment ?	Quelle est votre idée de temps ?
I think Tom is here already.	Je pense que Tom est déjà là.	Je pense que Tom est là à l'extérieur.
Try hard.	Fais un effort.	Essaie dur.
Don't touch it.	Ne touche pas à ça.	Ne le touche pas.
Speaking in public makes me nervous.	Parler devant un public me rend nerveux.	<unk> en tête me <unk>
He was sitting in the library when I saw him.	Il était assis dans la bibliothèque quand je l'ai vu.	Il était assis dans le bibliothèque quand je l'ai vu.
I want to buy a more expensive watch.	Je veux acheter une montre plus chère.	Je veux acheter une vie plus onéreuse.
She can't ride a bicycle.	Elle ne sait pas faire de la bicyclette.	Elle ne peut pas monter dans un vélo.
I know they'll all want to help you.	Je sais qu'elles voudront toutes t'aider.	Je sais qu'ils voudront tous t'aider.
I told you it didn't work.	Je t'ai dit que ça n'a pas fonctionné.	Je t'ai dit que vous ne le <unk> pas.
I thought you hated me.	Je croyais que tu me détestais.	Je pensais que vous me <unk>
I feel way more comfortable now.	Je me sens beaucoup plus à l'aise maintenant.	Je me sens comme davantage de l'aise maintenant.
I will never forget seeing you.	Je n'oublierai jamais vous avoir vu.	Je n'oublierai jamais vu.
Your camera is only half the size of mine.	Ton appareil photo est seulement deux fois plus petit que le mien.	Votre caméra est seulement la moitié du mien.
It is possible that he has had an accident.	Il est possible qu'il ait eu un accident.	Il est possible qu'il ait une accident.
I wanted to discuss this with you yesterday, but you didn't seem to want to listen.	Je voulais en discuter avec vous, hier, mais vous ne sembliez pas disposées à écouter.	Je voulais discuter avec vous, hier, mais vous ne sembliez pas disposée à écouter.
I know you recently retired.	Je sais que tu es partie en retraite il y a peu.	Je sais que vous avez <unk>
Does Tom believe in God?	Tom croit-il en Dieu ?	Tom crois que Tom vit ?
Telephone booths are very scarce around here.	Les cabines téléphoniques sont très rares, dans les environs.	Les <unk> <unk> sont très <unk> autour d'ici.
I laughed a lot.	J'ai beaucoup ri.	J'ai ri beaucoup.
He quit without notice.	Il a démissionné sans préavis.	Il a cessé sans <unk>
We're not kidding.	Nous ne plaisantons pas.	Nous ne sommes pas <unk>
When did you find out?	Quand as-tu deviné ?	Quand as-tu trouvé cette <unk> ?
What do you think of the new teacher?	Que penses-tu de la nouvelle institutrice ?	Que pensez-vous de la nouvelle enseignant ?
Did you have fun last night?	Vous êtes-vous amusée hier soir ?	T'es-tu amusée la nuit dernière ?
We just want Tom to keep working.	Nous voulons seulement que Tom continue de travailler.	Nous voulons juste Tom garder travailler.
It's really bright.	C'est vraiment lumineux.	C'est vraiment <unk>
Tom keeps his word.	Tom tient parole.	Tom tient son parole.
Did you buy a new car?	As-tu acheté une voiture neuve ?	Avez-vous acheté une nouvelle voiture ?
I've waited two whole hours. I can't wait any longer.	J'ai attendu deux heures entières. Je ne peux plus attendre davantage.	J'ai attendu deux heures, je ne peux pas attendre plus longtemps.
You're the first person I told that to.	Vous êtes la première personne à qui j'ai dit ça.	Tu es la première personne que je lui ai dit ça.
You're disappointed, aren't you?	Vous êtes déçu, n'est-ce pas ?	Vous êtes <unk> n'est-ce pas ?
Do it the way he tells you to.	Faites-le de la manière qu'il vous indique.	Fais-le de la manière qu'il vous <unk>
I wish I were rich.	Je voudrais être riche.	J'aimerais avoir riche.
Are you looking for us?	Nous cherchez-vous ?	Es-tu prête ?
Why didn't we think of that before?	Pourquoi n'avons-nous pas pensé à ça avant ?	Pourquoi ne nous sommes-nous pas songer ?
You have to stay fit.	Tu dois rester en forme.	Il te faut rester forme.
I think so, too.	Oui, je le pense aussi.	Je pense que également aussi.
You need to be careful.	Il vous faut être prudente.	Il faut que vous soyez prudente.
We owe more on our house than it's worth.	Nous avons davantage de dettes sur notre maison qu'elle n'en vaut.	Nous devons plus de notre maison que c'est que c'est en vie.
That's what the boss wants.	C'est ce que le patron veut.	C'est ce que la patronne veut.
I locked myself out.	Je me suis enfermé dehors.	Je me suis sortie.
You can't eat here.	Tu ne peux pas manger ici.	Vous ne pouvez pas manger ici.
English is spoken all over the world.	L'anglais est parlé partout dans le monde.	L'anglais est parlé du monde.
My brother-in-law is a cop.	Mon beau-frère est flic.	Mon <unk> est un flic.
Don't think about stuff like that.	Ne pensez pas à de tels trucs !	Ne pensez-vous pas de trucs comme ça.
I'm giving it back.	Je la rends.	Je suis en train de le rappeler.
Tom is too old for me.	Tom est trop vieux pour moi.	Tom est trop vieux pour moi.
You're not ready yet, are you?	Vous n'êtes pas encore prêtes, n'est-ce pas ?	Vous n'êtes pas prêts si ?
They were lucky.	Ils eurent de la chance.	Elles étaient chanceux.
Visit us tomorrow.	Rends-nous visite demain !	<unk> demain.
A lot of people are dealing with hay fever now.	De nombreuses personnes ont des problèmes de rhume des foins, actuellement.	Beaucoup de gens sont des <unk> de <unk>
I'm busy.	Je suis occupé.	Je suis occupé.
Tom won't bother you anymore.	Tom ne vous ennuiera plus.	Tom ne <unk> plus que vous <unk>
Can you remember his name?	Pouvez-vous vous rappeler son nom ?	Peux-tu me rappeler son nom ?
The method was crude, but very effective.	La méthode était brutale, mais très efficace.	Le <unk> était <unk> mais <unk>
Tom can stay if he wants to.	Tom peut rester s'il le souhaite.	Tom peut rester s'il veut le sache.
Do penguins live at the North Pole?	Est-ce que les pingouins vivent au pôle Nord ?	<unk> dans le <unk> <unk>
Can you juggle?	Sais-tu jongler ?	Peux-tu <unk> ?
I don't know who you're talking about.	J'ignore de qui vous discutez.	Je ne sais pas qui vous parlez.
We don't really know anything about death.	Nous ne savons vraiment rien de la mort.	Nous ne savons vraiment rien de cette mort.
I suggest you cooperate.	Je te suggère de coopérer.	Je suggère que vous <unk>
Does she still have a temperature?	A-t-elle encore de la fièvre ?	A-t-elle encore une température ?
We are late.	Nous sommes en retard.	Nous sommes en retard.
I had little to do with it.	J'eus peu à voir avec ça.	J'ai eu peu de le faire.
Are you a creature of habit?	Êtes-vous prisonnier de vos habitudes ?	Es-tu un <unk> de <unk> ?
He hit me twice.	Il m'a frappée par deux fois.	Il m'a frappé
I'll win using whatever means it takes.	Je gagnerai en utilisant quelque moyen qu'il faille.	Je <unk> tout ce que ce soit tout le monde fait.
I love that scarf.	J'adore cette écharpe.	J'adore cette <unk>
